;9002;L 041;-;-;-;ebenholzschwarz;-;ebony black;;
;9006;?;-;-;?;schwarz;weiß;black;;Taxi (roof and bumpers white)
;9156;L 20 A;-;-;-;marinogelb;;chrome yellow;;Westfalia
;9156;L 21 H;-;-;-;marinogelb;;chrome yellow;;Westfalia
upper;9157;L 20 A;L 90 D;-;-;marinogelb;pastellweiß;chrome yellow;pastel white;Westfalia
upper;9157;L 21 H;L 90 D;-;-;marinogelb;pastellweiß;chrome yellow;pastel white;Westfalia
;9184;L 11 H;-;-;-;sierragelb;;sierra yellow;;Westfalia
;9191;L 07 Q;-;1015;-;elfenbein;;ivory;;taxi vehicles
;9200;L 591;-;2000;-;orange;;orange;;roadwork vehicles
;9226;L 20 B;-;-;-;leuchtorange;;brilliant orange;;Westfalia
upper;9227;L 20 B;L 90 D;-;-;leuchtorange;pastellweiß;brilliant orange;pastel white;Westfalia
;9300;L 256;-;3000;-;feuerwehrrot;;firebrigade red;;firebrigades
;9451;L 63 H;-;-;-;taigagrün;;sage green;;Westfalia
upper;9452;L 63 H;L 90 D;-;-;taigagrün;pastellweiß;sage green;pastel white;Westfalia
;9508;L 239;-;5010;-;blau;;blue;;Interrent, Germany
roof;9548;L 534;?;5011;?;linnenblau;weiß;linen blue;white;Police, the Netherlands
;9570;L 53 D;-;-;-;niagarablau;;niagara blue;;Westfalia
upper;9603;L 61 B;L 90 D;-;-;sumatragrün;pastellweiß;sumatra green;pastel white;Westfalia
;9609;L 319;-;6014;-;olivgrün ?;;olive green;;Army (The Netherlands)
;9610;L 319;-;6014;-;olivgrün;;olive green;;Army (Germany)
;9612;?;-;?;-;olivgrün ?;;olive green;;Army (The Netherlands and Switserland)
;9648;L 65 K;-;-;-;ravennagrün;;ravenna green;;Westfalia
;9824;L 13 H;-;-;-;ceylonbeige;;ceylon beige;;Westfalia
;9826;L 13 A;-;-;-;dakotabeige;;dakota beige;;Westfalia
upper;9830;L 13 A;L 90 D;-;-;dakotabeige;pastellweiß;dakota beige;pastel white;Westfalia
;9832;L E1 M;-;-;-;mexicobeige;;mexico beige;;Westfalia
;9926;L 90 D;-;-;-;pastellweiß;;pastel white;;Westfalia
